Genre,Cleaned_Plot
comedy,"sir sidney ruffdiamond sid james is queen victorias governor in the british india province of khalabar near the khyber pass the province is defended by the feared rd foot and mouth regiment the devils in skirts who are said to not wear anything under their kilts when private widdle charles hawtrey is found wearing underpants after an encounter with the warlord bungdit din bernard bresslaw chief of the warlike burpa tribe the khasi of khalabar kenneth williams plans to use this information to incite an antibritish rebellion he aims to dispel the tough image of the devils in skirts by revealing that contrary to popular belief they do indeed wear underpants under their kilts
a diplomatic operation ensues on the part of the british who fail spectacularly to prove that the incident was an aberration the governors wife joan sims in the hope of luring the khasi into bed with her takes a photograph of an inspection in which many of the soldiers present are found wearing underpants and takes it to him with this hard evidence in hand the khasi would be able to muster a ferocious afghan invasion force storm the khyber pass and reclaim india from british rule but lady ruffdiamond insists that he sleep with her before she parts with the photograph he delays on account of her unattractiveness eventually taking her away with him to bungdit dins palace
meanwhile the khasis daughter princess jelhi angela douglas reveals to the british captain keene roy castle with whom she has fallen in love that the governors wife has eloped and a team is dispatched to return her and the photo to british hands disguised as afghan generals the interlopers are brought into the palace and at the khasis suggestion are introduced to bungdit dins sultry concubines whilst enjoying the women in the harem they are unmasked amid a farcical orgy scene imprisoned and scheduled to be executed at sunset along with the governors wife the khasis daughter aids their escape in disguise as dancing girls but during the entertaining of the afghan generals the khasi contemptuous of an annoying fakirs performance demands that he see the dancing girls instead after their disguises are seen through the british and the princess flee but lady ruffdiamond drops the photograph on leaving the palace through the gardens the group returns to the khyber pass to find its guards massacred and their weapons comically mutilated in a rare moment of albeit tainted poignancy all attempts to hold off the advancing hordes fail miserably and a hasty retreat is beaten to the residency
the governor meanwhile has been entertaining in numerical order the khasis fiftyone wives each one of them wishing to right the wrong that his own wife and the khasi himself have supposedly committed against him though no such wrong took place after a browbeating from his wife sir sidney calls a crisis meeting regarding the invasion in which he resolves to do nothing a black tie dinner is arranged for that evening
dinner takes place during a prolonged penultimate scene with contrapuntal snippets of the khasis army demolishing the residencys exterior and the officers and ladies ignoring the devastation as they dine shells shaking the building and plaster falling into the soup do not interrupt dinner even when the fakirs severed  but still talking  head is served courtesy of the khasi only brother belcher fails to display a stiff upper lip and panics like a normal person finally at captain keenes suggestion the gentlemen walk outside to be greeted by a bloody battle being waged in the courtyard still dressed in black tie sir sidney orders the regiment to form a line and lift their kilts this time exposing their implied lack of underwear the invading army is terrified and retreats at once the gentlemen walk back inside to resume dinner whilst brother belcher acknowledges the defaced british flag flying"
comedy,"three plots in three different historical periodsprehistoric times ancient rome and modern times the roaring twentiesare intercut to prove the point that mans love for woman has not significantly changed throughout history in all three plots characters played by the small and slight buster keaton and handsome bruiser wallace beery compete for the attention of the same woman played by margaret leahy each plot follows similar arcs in the story line in which keatons character works for his beloveds attention and eventually wins her over
in the stone age story line keaton competes with the bigger brutish beery for a cavewoman leahy after observing another caveman drag away a woman by the hair in order to claim her keaton tries to become more assertive but is continuously pushed back and bullied by beery an attempt to make leahy jealous by flirting with another woman ends in failure nevertheless keaton grows closer to leahy and beery challenges him to a fight at sunrise keaton wins thanks to hiding a rock in his club but is caught and tied to the tail of an elephant to be dragged around the dirt as punishment upon his return he finds leahy about to be claimed by beery and attempts to make off with her beery catches him and the two battle by tossing boulders at each other from afar with keaton and leahy on a cliff together when beery climbs up to reclaim leahy keaton dispatches leahys cronies and finally defeats him he drags a smitten leahy off by the hair in the epilogue they go off for a walk with their huge family of children following them
in the ancient rome segment keaton attempts to attract the attention of the wealthy leahy but is continually pushed back by beery beery challenges him to a chariot race after a hard snow  keaton wins by using sled dogs instead of horses in revenge beery forces him into the lion pit belonging to leahys family keaton survives by befriending the lion and cleaning its claws keaton is rescued by leahys parents while beery kidnaps leahy keaton rescues her and tries to seduce her in her palanquin which takes off without them in the epilogue they also go out for a walk with many children in tow
in the modern times story line keaton is a poor man yearning for leahy who has rich parents leahys mother unimpressed with keatons bank account but interested in beerys decides on beery as a match for her daughter keaton accidentally gets drunk at a restaurant where beery and leahy are dining and beery tricks the male half of another couple into punching keaton who stumbles home drunk later keaton impresses leahy by playing a football game whereas beery is only a coach beery decides to play opposite keaton keaton is overwhelmed by the bigger beery but ends up winning the game with an impressive touchdown an irritated beery frames keaton for possession of alcohol and gets him arrested simultaneously showing him a wedding announcement between him and leahy  keaton will be unable to stop the wedding while in jail while shadowed by a guard keaton finds a criminal file showing that beery has been charged with bigamy and forgery he attempts to call leahy to warn her he accidentally escapes when the phone booth hes using is taken out for replacement keaton evades the police chasing him and make it to the church on time dragging leahy away from the wedding and into a cab after showing her beerys criminal file he takes leahy home and prepares to leave but she kisses him he declares to the cab driver that theyre going back to the church in the epilogue they also go out for a walk  this time with their dog instead of children"
drama,a canadian mother and businesswoman dinah middleton keane is devastated when her teenage son alex anderson is killed by a hitandrun driver when the police fail to turn up any suspects she turns private detective to track the killer down she traces the murderer to new york city only to discover that the crime is not covered by the extradition treaty between canada and the us she becomes obsessed with bringing the criminal to justice
horror,"at the yucca mountain nuclear waste repository a teenage hacker boy named jesse is caught trying to steal dynamite his uncle bails him out and a workman teaches him how to operate a forklift that night an animal appears at the repositorys mess hall and kills everyone but jesse when communications from the repository cease a group of technicians and scientists are called on to investigate the facility once a uranium mine laboratory and refinery has become a classified government facility the investigators find the place deserted three go to the control room to try to reboot the computer system while the other three form a search party they locate jesse catatonic and in a state of shock
they take him back to the control room and demand answers from major tom mcquade the head of the mission who evades their questions when they demand to leave he orders them back to work despite their continuing problems with the communications equipment the main crew heads down to a lower level to investigate the situation while the pilot galloway and computer expert moses stay in the control center with jesse on the lower level the crew gets more and more suspicious but mcquade continues to act as if he knows nothing when an animal drags kahane down a tunnel and kills him the crew flee back to the control room realizing that mcquade had been up to something after all jesse listening to their radio chatter realizes what happened and flees the room just before a velociraptor appears and eats moses galloway flees to the helicopter and starts it up before the crew can reach her a velociraptor in the back seat attacks her galloway loses control and crashes the chopper stranding the crew
the group returns to the control room kept safe by heavy metal doors there they learn of the dinosaurs origins from mcquade a brilliant genetic scientist working for a poultry company went mad and decided to wipe out all of humanity by using a virus made from prehistoric dna to impregnate first the birds then human females with dinosaurs the government narrowly contained the situation but kept some of the eggs for analysis storing them in the plant to be hidden the eggs hatched and killed off the entire crew and the electrical damage is putting the plant at risk of meltdown mcquade organized the mission to prevent the meltdown and save the dinosaurs for research the crew unsympathetic to mcquade decide to blow up the dinosaurs with dynamite mcquade chases after them but is beaten in a brief fight mcquade explains that he was trying to stop them from going into the facilitys lower levels because radiation from secretly stored nuclear waste and warheads is leaking out and the containment will eventually fail completely
jesse devises a plan to crash the computers to send the site into emergency mode which should get an evacuation squad to come and rescue them once the plan is put into place the group begins making its way back to the surface they continue using dynamite to hold off any dinosaurs while getting to the elevator a raptor breaks into the elevator and eats rawling monk and mcquade are injured and blow themselves up to kill the remaining raptors
jesse and jack now on their own continue making their way up jack however has taken a long fall and is injured jesse runs outside to find the evacuation team waiting he tries to get them to go back for jack but they refuse so he runs back in himself and encounters a tyrannosaurus jesse helps jack get to the rescue helicopter just as the t rex bursts out and bites the head off one of the rescue crew jesse runs back again and gets in the forklift using the forklift remote he opens the door to the elevator shaft and wrestles the dinosaur with the forklift eventually weakening it enough to push it down the shaft jesse and jack are flown off and jesse uses a remote detonator to detonate the rest of the dynamite destroying the facility and preventing a meltdown"
comedy,"leonard hoffman is a los angeles insurance agent with a problem on his hands he has teenage triplets who are all gifted musicians but wife arlene insists that the kids attend college at yale requiring more than  in tuition rather than less expensive schools like nearby ucla
this situation is on leonards mind when he pays a business call to the beverly hills mansion of steve and blanche rickey he is met by a flirtatious and scantily clad blanche who explains a problem of her ownsteve is dying with less than a week to live but accidentally let his lifeinsurance policy lapse
a scheme is hatched involving a policy with a doubleindemnity clause steve has to die in an unexpected fashion for this to happen but he may or may not cooperate"
drama,"david lewis peter gallagher is so affected by the death of his beautiful wife gillian michelle pfeiffer who fell from the mast of their yacht on a sailing trip that he turns their summer cottage in nantucket massachusetts into a permanent home and spends most of his time on the beach there communicating with gillians spirit and unwittingly neglecting his daughter rachel claire danes
on the second anniversary of gillians death david invites her sister esther wheeler kathy baker and her husband paul bruce altman to stay for the weekend she insists on bringing a friend named kevin dollof wendy crewson whom she hopes david will become romantically interested in he however ignores her in proceeding with a ritualistic celebration of gillians birthday
the events of the weekend cause the adults to reexamine their relationships esther and paul have to deal with the problem posed to their marriage by rachels provocative friend cindy laurie fortier while most importantly david comes to realize that he can be a loving and attentive father to rachel without betraying the memory of gillian"
comedy,on a whim herbert blake proposes a wager with roger fallon that he wont be able to get a kiss during the coming  hours from the next woman who happens to walk into the room fallon takes the bet whereupon the woman who turns up is herberts wife
action,"rebellious teenager jubilation lee heather mccomb finds herself in trouble after her mutant fireworks power manifests itself at a local arcade she is rescued from her predicament by emma frost finola hughes and sean cassidy jeremy ratchford the headmasters of xaviers school for gifted youngsters they recruit jubilee and offer her sanctuary at the school a place where mutants learn to control their powers the trio then picks up teenager angelo skin espinosa agustin rodriguez and proceed to the school where jubilee and skin are introduced to their fellow students m amarilis mondo bumper robinson buff suzanne davis and refrax randall slavin at the school the students are taught not only to cope with their mutant powers but also with a world that fears and hates them the students are warned not to leave the school grounds lest they come into conflict with the townies from the local area
in addition to coping with their new abilities jubilee and skin find their dreams haunted by russel tresh matt frewer a mad scientist obsessed with the power of dreams tresh once worked with emma frost as a researcher on a project to develop a dream machine to access the dream dimension but he was fired from the team when emma discovered his unethical behavior tresh believes that material extracted from mutants brains will allow him to develop his own psychic abilities although jubilee is able to resist tresh somewhat skin finds himself drawn to tresh and his promises and unknowingly falls victim to the scientist instructors frost and cassidy soon find themselves leading the novice team against an enhanced tresh in order to rescue the enthralled skin  a conflict which sees the youngsters pull together as a team and leaves a catatonic tresh trapped in the dream dimension
the following is a prologue quote that appeared at the beginning of the movie which was later emulated in the xmen theatrical films with similar defining quotes on mutation and evolution respectively albeit in voiceover rather than onscreen text"
horror,"one evening near the small serbian village of stetl early in the nineteenth century schoolmaster albert müller witnesses his wife anna taking a little girl jenny schilt into the castle of count mitterhaus a reclusive nobleman rumored to be a vampire responsible for the disappearances of other children the rumors prove true as anna who has become mitterhaus willing acolyte and mistress gives jenny to him to be drained of her blood men from the village directed by müller and including jennys father mr schilt and the bürgermeister invade the castle and attack the count after the vampire kills several of them müller succeeds in driving a wooden stake through his heart with his dying breath mitterhaus curses the villagers vowing that their children will die to give him back his life the angry villagers force anna to run a gauntlet but when her husband intervenes she runs back into the castle where the briefly revived count tells her to find his cousin emil at the circus of night after laying his body in the crypt she escapes through an underground tunnel as the villagers blow the castle with gunpowder and set fire to it
fifteen years later stetl is being ravaged by a plague and blockaded by the authorities of neighboring towns with men ready to shoot any villager who tries to leave the citizens fear that the pestilence may be due to the counts curse though the new physician dr kersh dismisses vampires as just a myth then a travelling circus calling itself the circus of night arrives at the village directed by a dwarf and an alluring gypsy woman who are equivocal about how they got past the blockade and the villagers appreciative of the distraction from their troubles do not much question the matter no one in the village suspects that one of the circus artists emil is count mitterhauss cousin and a vampire as are the twin acrobats heinrich and helga emil and the gypsy woman go to the remains of the castle where in the crypt they find the counts staked body still preserved and they reiterate his curse that all who killed him and all their children must die
while his son anton distracts the armed men at the blockade dr kersh gets past them to appeal for help from the capital at the circus of night the villagers are amazed and delighted by the entertainment despite his wifes concerns over their wayward daughter rosas attraction to the handsome emil the bürgermeister takes her to the circus and at the gypsy womans invitation visits its hall of mirrors where he sees in one called the mirror of life a vision of a revived count mitterhaus which causes him to collapse frightened by this event schilt tries to flee with his family from the blockaded village with the circus dwarf michael as their guide only to be abandoned by him in the forest and mauled to death by emil whose shapeshifting form is a black panther
müllers daughter dora whom he sent away earlier for her protection has slipped past the blockade and is returning to the village to reunite with her father and her beloved anton when she discovers the schilts dismembered bodies arousing suspicions about the animals of the circus that evening jon and gustav hauser two village boys whose father helped instigate the killing of mitterhaus are invited by the gypsy woman to enter the hall of mirrors and are magically drawn by heinrich and helga to the counts crypt where they are killed and drained after the boys bodies are found near the castle their grieving father and the sick bürgermeister begin to shoot the circus animals after an encounter with emil the bürgermeister dies of heart failure while his daughter leaves with the vampire who kills the girl
dora and anton are lured by the twins into the hall of mirrors where they try to whisk dora through the mirror of life but the cross she is wearing saves her later the vampires enter the school house where dora and anton have taken refuge emil in panther form kills the boarding students diverting anton while the gypsy woman revealed to be anna müller and the twins mother tears the cross from doras neck enabling heinrich and helga to attack her dora however escapes into the school chapel where the twins are overwhelmed by a giant crucifix which she topples on them destroying them nevertheless with the help of the circus strongman emil and anna succeed in having dora and her guardian hausers wife gerta kidnapped and taken to the crypt at castle mitterhaus where they intend to use their blood  just like the blood from their previous child victims  as part of a ritual to restore the count back to life
meanwhile dr kersch returns from the capital with an imperial escort and medicines for the plague he also brings news of vampire killings in other villages all of them toured by the circus of night the men attack the circus and set fire to it killing the strongman when he tries to stop them as hauser starts to burn down the hall of mirrors he sees in the mirror of life a vision of emil and anna bleeding gerta over the counts body this horrifying sight distracts him long enough to be burned fatally by the fire but he lives long enough to alert anton and the other men to doras plight
back in the castle crypt anna is killed when out of sudden remorse she attempts to save dora from emil anton finding his way through the underground tunnel into the crypt despite a deadly ambush by michael the dwarf attempts to rescue dora but is halted by emil just then müller dr kersh and a soldier break into the crypt and battle emil emil kills or disables all his attackers but müller pierces him with the stake from the counts chest as he dies from emils bite revived by the stakes removal the count rises from his sarcophagus and advances on dora and anton anton uses müllers crossbow as a makeshift cross repelling the count long enough for him to jam the vampires neck between the weapons bow and stock and then pulling the trigger decapitating him as dr kersh leads dora and anton from the tomb he and the villagers set the ruins afire with torches ending the curse but dora and anton see a bat fly out of the tomb into the night and are left uncertain"
drama,"ernie mott cary grant is a restless irresponsible wandering cockney with a good musical ear on armistice day ernie visits the tomb of the unknown warrior in westminster abbey which memorializes those who died in world war i including his father ernie wants a better life but does not want to settle down or work for it when he returns home ma mott ethel barrymore asks why he has returned after so long and she gives him an ultimatum that he must stay home now or leave forever he informs her that he will then be leaving next morning and goes out to get a drink he meets fellow musician aggie hunter jane wyatt outside the bar but instead prefers the company of a gangsters fickle former wife ada brantline june duprez however when ernie becomes smitten with ada she rejects his offer of a date when he tells her he will be leaving town tomorrow
the next morning ma mott tells her pawnbroker friend ike weber konstantin shayne that she has cancer ma and ernie get into another fight but after he storms out ike shares with him that his mother needs him in her battle with cancer ernie returns and says that he will stay with her at home and help her run her shop
a month passes and ernie continues to pursue ada however when gangster jim mordinoy george coulouris informs him that shes still his wife ernie doesnt believe ada when she says thats a lie and he cuts her off socially ernie begins to notice the poverty surrounding him in london and chooses to accept mordinoys offer to join his activities even against adas pleas ernie begins to steal cars and he is involved in a police chase until his car collides with a truck and explodes into flames ada implores him to run away with her but he does not want to leave his dying mother
when ernie is eventually bailed out of jail by ike he finds out that after the police find ernies platinum cigarette casehis birthday gift from mawas stolen the police arrest her and put her in prison she begs for forgiveness for shaming the family and dies in prison hospital when he returns home he learns via a letter from ada that she decided to stay with mordinoy because that would make her life easier ernie is crushed and walks along the street until he gets to aggies door and walks in"
