Genre,Plot
comedy,"Sir Sidney Ruff-Diamond (Sid James) is Queen Victoria's Governor in the British India province of Khalabar near the Khyber Pass. The province is defended by the feared 3rd Foot and Mouth Regiment (The Devils in Skirts), who are said to not wear anything under their kilts. When Private Widdle (Charles Hawtrey) is found wearing underpants after an encounter with the warlord Bungdit Din (Bernard Bresslaw), chief of the warlike Burpa tribe, the Khasi of Khalabar (Kenneth Williams) plans to use this information to incite an anti-British rebellion. He aims to dispel the ""tough"" image of the Devils in Skirts by revealing that contrary to popular belief, they do indeed wear underpants under their kilts.
A diplomatic operation ensues on the part of the British, who fail spectacularly to prove that the incident was an aberration. The Governor's wife (Joan Sims), in the hope of luring the Khasi into bed with her, takes a photograph of an inspection in which many of the soldiers present are found wearing underpants, and takes it to him. With this hard evidence in hand, the Khasi would be able to muster a ferocious Afghan invasion force, storm the Khyber Pass and reclaim India from British rule; but Lady Ruff-Diamond insists that he sleep with her before she parts with the photograph. He delays on account of her unattractiveness, eventually taking her away with him to Bungdit Din's palace.
Meanwhile, the Khasi's daughter, Princess Jelhi (Angela Douglas), reveals to the British Captain Keene (Roy Castle), with whom she has fallen in love, that the Governor's wife has eloped, and a team is dispatched to return her and the photo to British hands. Disguised as Afghan generals, the interlopers are brought into the palace and, at the Khasi's suggestion, are introduced to Bungdit Din's sultry concubines. Whilst enjoying the women in the harem, they are unmasked amid a farcical orgy scene, imprisoned, and scheduled to be executed at sunset along with the Governor's wife. The Khasi's daughter aids their escape in disguise as dancing girls, but during the entertaining of the Afghan generals, the Khasi, contemptuous of an annoying fakir's performance, demands that he see the dancing girls instead. After their disguises are seen through, the British and the Princess flee, but Lady Ruff-Diamond drops the photograph on leaving the palace through the gardens. The group returns to the Khyber Pass to find its guards massacred and their weapons comically mutilated, in a rare moment of (albeit tainted) poignancy. All attempts to hold off the advancing hordes fail miserably, and a hasty retreat is beaten to the Residency.
The Governor, meanwhile, has been entertaining, in numerical order, the Khasi's fifty-one wives, each one of them wishing to ""right the wrong"" that his own wife and the Khasi himself have supposedly committed against him (though no such wrong took place). After a browbeating from his wife, Sir Sidney calls a crisis meeting regarding the invasion, in which he resolves to ""do nothing"". A black tie dinner is arranged for that evening.
Dinner takes place during a prolonged penultimate scene, with contrapuntal snippets of the Khasi's army demolishing the Residency's exterior, and the officers and ladies ignoring the devastation as they dine. Shells shaking the building and plaster falling into the soup do not interrupt dinner, even when the fakir's severed - but still talking - head is served, courtesy of the Khasi. Only Brother Belcher fails to display a stiff upper lip, and panics like a normal person. Finally, at Captain Keene's suggestion, the gentlemen walk outside to be greeted by a bloody battle being waged in the courtyard. Still dressed in black tie, Sir Sidney orders the Regiment to form a line and lift their kilts, this time exposing their (implied) lack of underwear. The invading army is terrified, and retreats at once. The gentlemen walk back inside to resume dinner, whilst Brother Belcher acknowledges the defaced British flag flying."
comedy,"Three plots in three different historical periods—prehistoric times, Ancient Rome, and modern times (the Roaring Twenties)—are intercut to prove the point that man's love for woman has not significantly changed throughout history. In all three plots, characters played by the small and slight Buster Keaton and handsome bruiser Wallace Beery compete for the attention of the same woman, played by Margaret Leahy. Each plot follows similar ""arcs"" in the story line in which Keaton's character works for his beloved's attention and eventually wins her over.
In the Stone Age story line, Keaton competes with the bigger, brutish Beery for a cavewoman Leahy. After observing another caveman drag away a woman by the hair in order to ""claim"" her, Keaton tries to become more assertive, but is continuously pushed back and bullied by Beery. An attempt to make Leahy jealous by flirting with another woman ends in failure. Nevertheless, Keaton grows closer to Leahy, and Beery challenges him to a fight at sunrise. Keaton wins thanks to hiding a rock in his club, but is caught and tied to the tail of an elephant to be dragged around the dirt as punishment. Upon his return, he finds Leahy about to be claimed by Beery and attempts to make off with her. Beery catches him and the two battle by tossing boulders at each other from afar, with Keaton and Leahy on a cliff together. When Beery climbs up to reclaim Leahy, Keaton dispatches Leahy's cronies and finally defeats him. He drags a smitten Leahy off by the hair. In the epilogue, they go off for a walk with their huge family of children following them.
In the Ancient Rome segment, Keaton attempts to attract the attention of the wealthy Leahy, but is continually pushed back by Beery. Beery challenges him to a chariot race after a hard snow — Keaton wins by using sled dogs instead of horses. In revenge, Beery forces him into the lion pit belonging to Leahy's family. Keaton survives by befriending the lion and cleaning its claws. Keaton is rescued by Leahy's parents while Beery kidnaps Leahy. Keaton rescues her and tries to seduce her in her palanquin, which takes off without them. In the epilogue, they also go out for a walk with many children in tow.
In the ""modern times"" story line, Keaton is a poor man yearning for Leahy, who has rich parents. Leahy's mother, unimpressed with Keaton's bank account but interested in Beery's, decides on Beery as a match for her daughter. Keaton accidentally gets drunk at a restaurant where Beery and Leahy are dining, and Beery tricks the male half of another couple into punching Keaton, who stumbles home drunk. Later, Keaton impresses Leahy by playing a football game, whereas Beery is only a coach; Beery decides to play opposite Keaton. Keaton is overwhelmed by the bigger Beery, but ends up winning the game with an impressive touchdown. An irritated Beery frames Keaton for possession of alcohol and gets him arrested, simultaneously showing him a wedding announcement between him and Leahy — Keaton will be unable to stop the wedding while in jail. While shadowed by a guard, Keaton finds a criminal file showing that Beery has been charged with bigamy and forgery. He attempts to call Leahy to warn her. He accidentally escapes when the phone booth he's using is taken out for replacement. Keaton evades the police chasing him and make it to the church on time, dragging Leahy away from the wedding and into a cab. After showing her Beery's criminal file, he takes Leahy home and prepares to leave, but she kisses him. He declares to the cab driver that they're going back to the church. In the epilogue, they also go out for a walk — this time with their dog instead of children."
drama,"A Canadian mother and businesswoman Dinah Middleton (Keane) is devastated when her teenage son, Alex (Anderson), is killed by a hit-and-run driver. When the police fail to turn up any suspects, she turns private detective to track the killer down. She traces the murderer to New York City, only to discover that the crime is not covered by the extradition treaty between Canada and the US. She becomes obsessed with bringing the criminal to justice."
horror,"At the Yucca Mountain nuclear waste repository, a teenage hacker boy named Jesse is caught trying to steal dynamite. His uncle bails him out, and a workman teaches him how to operate a forklift. That night, an animal appears at the repository's mess hall and kills everyone but Jesse. When communications from the repository cease, a group of technicians and scientists are called on to investigate. The facility, once a uranium mine, laboratory, and refinery, has become a classified government facility. The investigators find the place deserted; three go to the control room to try to reboot the computer system, while the other three form a search party. They locate Jesse, catatonic and in a state of shock.
They take him back to the control room and demand answers from Major Tom McQuade, the head of the mission, who evades their questions. When they demand to leave, he orders them back to work, despite their continuing problems with the communications equipment. The main crew heads down to a lower level to investigate the situation while the pilot, Galloway and computer expert Moses stay in the control center with Jesse. On the lower level, the crew gets more and more suspicious but McQuade continues to act as if he knows nothing. When an animal drags Kahane down a tunnel and kills him, the crew flee back to the control room, realizing that McQuade had been up to something after all. Jesse, listening to their radio chatter, realizes what happened and flees the room just before a Velociraptor appears and eats Moses. Galloway flees to the helicopter and starts it up. Before the crew can reach her, a Velociraptor in the back seat attacks her. Galloway loses control and crashes the chopper, stranding the crew.
The group returns to the control room, kept safe by heavy metal doors. There, they learn of the dinosaur's origins from McQuade: a brilliant genetic scientist working for a poultry company went mad and decided to wipe out all of humanity by using a virus made from prehistoric DNA to impregnate first the birds, then human females with dinosaurs. The government narrowly contained the situation, but kept some of the eggs for analysis, storing them in the plant to be hidden. The eggs hatched and killed off the entire crew, and the electrical damage is putting the plant at risk of meltdown. McQuade organized the mission to prevent the meltdown and save the dinosaurs for research. The crew, unsympathetic to McQuade, decide to blow up the dinosaurs with dynamite. McQuade chases after them but is beaten in a brief fight. McQuade explains that he was trying to stop them from going into the facility's lower levels, because radiation from secretly stored nuclear waste and warheads is leaking out and the containment will eventually fail completely.
Jesse devises a plan to crash the computers to send the site into emergency mode, which should get an evacuation squad to come and rescue them. Once the plan is put into place, the group begins making its way back to the surface. They continue using dynamite to hold off any dinosaurs while getting to the elevator. A raptor breaks into the elevator and eats Rawling. Monk and McQuade are injured and blow themselves up to kill the remaining raptors.
Jesse and Jack, now on their own, continue making their way up. Jack, however, has taken a long fall and is injured. Jesse runs outside to find the evacuation team waiting. He tries to get them to go back for Jack, but they refuse, so he runs back in himself and encounters a Tyrannosaurus. Jesse helps Jack get to the rescue helicopter, just as the T. rex bursts out and bites the head off one of the rescue crew. Jesse runs back again, and gets in the forklift. Using the forklift remote, he opens the door to the elevator shaft and wrestles the dinosaur with the forklift, eventually weakening it enough to push it down the shaft. Jesse and Jack are flown off, and Jesse uses a remote detonator to detonate the rest of the dynamite, destroying the facility and preventing a meltdown."
comedy,"Leonard Hoffman is a Los Angeles insurance agent with a problem on his hands. He has teenage triplets who are all gifted musicians, but wife Arlene insists that the kids attend college at Yale, requiring more than $40,000 in tuition, rather than less expensive schools like nearby UCLA.
This situation is on Leonard's mind when he pays a business call to the Beverly Hills mansion of Steve and Blanche Rickey. He is met by a flirtatious and scantily clad Blanche, who explains a problem of her own—Steve is dying, with less than a week to live, but accidentally let his life-insurance policy lapse.
A scheme is hatched involving a policy with a double-indemnity clause. Steve has to die in an unexpected fashion for this to happen, but he may or may not cooperate."
drama,"David Lewis (Peter Gallagher) is so affected by the death of his beautiful wife, Gillian (Michelle Pfeiffer), who fell from the mast of their yacht on a sailing trip, that he turns their summer cottage in Nantucket, Massachusetts into a permanent home and spends most of his time on the beach there, communicating with Gillian's spirit and unwittingly neglecting his daughter, Rachel (Claire Danes).
On the second anniversary of Gillian's death, David invites her sister, Esther Wheeler (Kathy Baker), and her husband, Paul (Bruce Altman), to stay for the weekend. She insists on bringing a friend named Kevin Dollof (Wendy Crewson) whom she hopes David will become romantically interested in. He, however, ignores her in proceeding with a ritualistic celebration of Gillian's birthday.
The events of the weekend cause the adults to re-examine their relationships; Esther and Paul have to deal with the problem posed to their marriage by Rachel's provocative friend, Cindy (Laurie Fortier), while, most importantly, David comes to realize that he can be a loving and attentive father to Rachel without betraying the memory of Gillian."
comedy,"On a whim, Herbert Blake proposes a wager with Roger Fallon that he won't be able to get a kiss during the coming 48 hours from the next woman who happens to walk into the room. Fallon takes the bet, whereupon the woman who turns up is Herbert's wife."
action,"Rebellious teenager Jubilation Lee (Heather McComb) finds herself in trouble after her mutant ""fireworks"" power manifests itself at a local arcade. She is rescued from her predicament by Emma Frost (Finola Hughes) and Sean Cassidy (Jeremy Ratchford), the headmasters of Xavier's School for Gifted Youngsters. They recruit ""Jubilee"" and offer her sanctuary at the school, a place where mutants learn to control their powers. The trio then picks up teenager Angelo ""Skin"" Espinosa (Agustin Rodriguez) and proceed to the school where Jubilee and Skin are introduced to their fellow students; M (Amarilis), Mondo (Bumper Robinson), Buff (Suzanne Davis) and Refrax (Randall Slavin). At the school the students are taught not only to cope with their mutant powers but also with a world that fears and hates them. The students are warned not to leave the school grounds lest they come into conflict with the ""townies"" from the local area.
In addition to coping with their new abilities, Jubilee and Skin find their dreams haunted by Russel Tresh (Matt Frewer), a mad scientist obsessed with the power of dreams. Tresh once worked with Emma Frost as a researcher on a project to develop a ""dream machine"" to access the dream dimension but he was fired from the team when Emma discovered his unethical behavior. Tresh believes that material extracted from mutants' brains will allow him to develop his own psychic abilities. Although Jubilee is able to resist Tresh somewhat, Skin finds himself drawn to Tresh and his promises, and unknowingly falls victim to the scientist. Instructors Frost and Cassidy soon find themselves leading the novice team against an enhanced Tresh in order to rescue the enthralled Skin - a conflict which sees the youngsters pull together as a team and leaves a catatonic Tresh trapped in the ""dream dimension"".
The following is a prologue quote that appeared at the beginning of the movie, which was later emulated in the X-Men theatrical films with similar defining quotes on mutation and evolution, respectively, albeit in voice-over rather than on-screen text:"
horror,"One evening near the small Serbian village of Stetl, early in the nineteenth century, schoolmaster Albert Müller witnesses his wife Anna taking a little girl, Jenny Schilt, into the castle of Count Mitterhaus, a reclusive nobleman rumored to be a vampire responsible for the disappearances of other children. The rumors prove true, as Anna, who has become Mitterhaus' willing acolyte and mistress, gives Jenny to him to be drained of her blood. Men from the village, directed by Müller and including Jenny's father Mr. Schilt and the Bürgermeister, invade the castle and attack the Count. After the vampire kills several of them, Müller succeeds in driving a wooden stake through his heart. With his dying breath, Mitterhaus curses the villagers, vowing that their children will die to give him back his life. The angry villagers force Anna to run a gauntlet, but when her husband intervenes, she runs back into the castle where the briefly revived Count tells her to find his cousin Emil at ""the Circus of Night"". After laying his body in the crypt, she escapes through an underground tunnel as the villagers blow the castle with gunpowder and set fire to it.
Fifteen years later, Stetl is being ravaged by a plague and blockaded by the authorities of neighboring towns, with men ready to shoot any villager who tries to leave. The citizens fear that the pestilence may be due to the Count's curse, though the new physician Dr. Kersh dismisses vampires as just a myth. Then a travelling circus calling itself the Circus of Night arrives at the village, directed by a dwarf and an alluring gypsy woman who are equivocal about how they got past the blockade, and the villagers, appreciative of the distraction from their troubles, do not much question the matter. No one in the village suspects that one of the circus artists, Emil, is Count Mitterhaus's cousin and a vampire, as are the twin acrobats Heinrich and Helga. Emil and the gypsy woman go to the remains of the castle, where in the crypt they find the Count's staked body still preserved, and they reiterate his curse that all who killed him and all their children must die.
While his son Anton distracts the armed men at the blockade, Dr. Kersh gets past them to appeal for help from the capital. At the Circus of Night, the villagers are amazed and delighted by the entertainment. Despite his wife's concerns over their wayward daughter Rosa's attraction to the handsome Emil, the Bürgermeister takes her to the circus and, at the gypsy woman's invitation, visits its hall of mirrors where he sees in one, called ""The Mirror of Life"", a vision of a revived Count Mitterhaus, which causes him to collapse. Frightened by this event, Schilt tries to flee with his family from the blockaded village with the circus dwarf Michael as their guide, only to be abandoned by him in the forest and mauled to death by Emil, whose shapeshifting form is a black panther.
Müller's daughter Dora, whom he sent away earlier for her protection, has slipped past the blockade and is returning to the village to reunite with her father and her beloved Anton when she discovers the Schilts' dismembered bodies, arousing suspicions about the animals of the circus. That evening, Jon and Gustav Hauser, two village boys whose father helped instigate the killing of Mitterhaus, are invited by the gypsy woman to enter the hall of mirrors and are magically drawn by Heinrich and Helga to the Count's crypt, where they are killed and drained. After the boys' bodies are found near the castle, their grieving father and the sick Bürgermeister begin to shoot the circus animals. After an encounter with Emil, the Bürgermeister dies of heart failure while his daughter leaves with the vampire, who kills the girl.
Dora and Anton are lured by the twins into the hall of mirrors where they try to whisk Dora through the Mirror of Life, but the cross she is wearing saves her. Later, the vampires enter the school house where Dora and Anton have taken refuge. Emil, in panther form, kills the boarding students, diverting Anton, while the gypsy woman (revealed to be Anna Müller and the twins' mother) tears the cross from Dora's neck, enabling Heinrich and Helga to attack her. Dora, however, escapes into the school chapel, where the twins are overwhelmed by a giant crucifix which she topples on them, destroying them. Nevertheless, with the help of the circus strongman, Emil and Anna succeed in having Dora and her guardian, Hauser's wife Gerta, kidnapped and taken to the crypt at Castle Mitterhaus, where they intend to use their blood - just like the blood from their previous child victims - as part of a ritual to restore the Count back to life.
Meanwhile, Dr. Kersch returns from the capital with an imperial escort and medicines for the plague. He also brings news of vampire killings in other villages, all of them toured by the Circus of Night. The men attack the circus and set fire to it, killing the strongman when he tries to stop them. As Hauser starts to burn down the hall of mirrors, he sees in the Mirror of Life a vision of Emil and Anna bleeding Gerta over the Count's body. This horrifying sight distracts him long enough to be burned fatally by the fire, but he lives long enough to alert Anton and the other men to Dora's plight.
Back in the castle crypt, Anna is killed when out of sudden remorse she attempts to save Dora from Emil. Anton, finding his way through the underground tunnel into the crypt despite a deadly ambush by Michael the dwarf, attempts to rescue Dora but is halted by Emil. Just then Müller, Dr. Kersh, and a soldier break into the crypt and battle Emil. Emil kills or disables all his attackers, but Müller pierces him with the stake from the Count's chest as he dies from Emil's bite. Revived by the stake's removal, the Count rises from his sarcophagus and advances on Dora and Anton. Anton uses Müller's crossbow as a makeshift cross, repelling the Count long enough for him to jam the vampire's neck between the weapon's bow and stock and then pulling the trigger, decapitating him. As Dr. Kersh leads Dora and Anton from the tomb, he and the villagers set the ruins afire with torches, ending the curse; but Dora and Anton see a bat fly out of the tomb into the night and are left uncertain."
drama,"Ernie Mott (Cary Grant) is a restless, irresponsible, wandering Cockney with a good musical ear. On Armistice Day, Ernie visits the tomb of the Unknown Warrior in Westminster Abbey, which memorializes those who died in World War I, including his father. Ernie wants a better life but does not want to settle down or work for it. When he returns home, Ma Mott (Ethel Barrymore) asks why he has returned after so long, and she gives him an ultimatum that he must stay home now or leave forever. He informs her that he will then be leaving next morning, and goes out to get a drink. He meets fellow musician Aggie Hunter (Jane Wyatt) outside the bar, but instead prefers the company of a gangster's fickle former wife, Ada Brantline (June Duprez). However, when Ernie becomes smitten with Ada she rejects his offer of a date when he tells her he will be leaving town tomorrow.
The next morning, Ma Mott tells her pawnbroker friend, Ike Weber (Konstantin Shayne), that she has cancer. Ma and Ernie get into another fight, but after he storms out, Ike shares with him that his mother needs him in her battle with cancer. Ernie returns and says that he will stay with her at home and help her run her shop.
A month passes, and Ernie continues to pursue Ada. However, when gangster Jim Mordinoy (George Coulouris) informs him that she's still his wife, Ernie doesn't believe Ada when she says that's a lie and he cuts her off socially. Ernie begins to notice the poverty surrounding him in London, and chooses to accept Mordinoy's offer to join his activities, even against Ada's pleas. Ernie begins to steal cars, and he is involved in a police chase until his car collides with a truck and explodes into flames. Ada implores him to run away with her, but he does not want to leave his dying mother.
When Ernie is eventually bailed out of jail by Ike, he finds out that after the police find Ernie's platinum cigarette case—his birthday gift from Ma—was stolen, the police arrest her and put her in prison. She begs for forgiveness for shaming the family, and dies in prison hospital. When he returns home, he learns via a letter from Ada that she decided to stay with Mordinoy because that would make her life easier. Ernie is crushed, and walks along the street until he gets to Aggie's door and walks in."
